"MachineName","Name","Status"
"USDCOH0001","SAPAdapterEngine0_64","Running"
"USFOLH0002","SAPAdapterEngine0_64","Running"
"USFOLH0001","SAPAdapterEngine0_64","Stopped"
"USLIVA0020","SAPAdapterEngine0_64","Running"
"USCHCL0099","SAPAdapterEngine0_64","Running"
"USBKFL0001","SAPAdapterEngine0_64","Running"
"USPHNA0103","SAPAdapterEngine0_64","Running"
"USGAFH0001","SAPADAPTERENGINE0_64","Stopped"
"USCHCA0000","SAPAdapterEngine0_64","Running"
"USTULA0001","SAPAdapterEngine0_64","Running"
"USCLVA0101","SAPAdapterEngine0_64","Running"
"USMTSA0003","SAPAdapterEngine0_64","Running"
"USPHNA0006","SAPAdapterEngine0_64","Running"
"USMBEA0015","SAPAdapterEngine0_64","Running"
"USMBEA9991","SAPAdapterEngine0_64","Running"
"USSTLA0096","SAPAdapterEngine0_64","Running"
"USPHNA0130","SAPAdapterEngine0_64","Running"
"USFTDA0000","SAPAdapterEngine0_64","Running"
"USPHWD9993","SAPAdapterEngine0_64","Running"
"USPHWD0018","SAPAdapterEngine0_64","Running"
"USMANH1003","SAPAdapterEngine0_64","Stopped"
"USMANH1002","SAPAdapterEngine0_64","Running"
"USDUBA0000","SAPAdapterEngine0_64","Running"
"USSLCA0001","SAPAdapterEngine0_64","Running"
"USINOH0006","SAPAdapterEngine0_64","Stopped"
"USINOH0005","SAPAdapterEngine0_64","Running"
"USFOLH0004","SAPAdapterEngine0_64","Stopped"
"USFOLH0005","SAPAdapterEngine0_64","Running"
"USSLCH0005","SAPAdapterEngine0_64","Stopped"
"USSLCH0004","SAPAdapterEngine0_64","Running"
"USCHGH0005","SAPAdapterEngine0_64","Running"
"USFRWH0007","SAPAdapterEngine0_64","Stopped"
"USFRWH0008","SAPAdapterEngine0_64","Running"
"USLAUH0007","SAPAdapterEngine0_64","Stopped"
"USLAUH0008","SAPAdapterEngine0_64","Stopped"
"USCTYH0004","SAPAdapterEngine0_64","Stopped"
"USCTYH0005","SAPAdapterEngine0_64","Running"
"USPHEH0004","SAPAdapterEngine0_64","Stopped"
"USDCOH0004","SAPAdapterEngine0_64","Running"
"USDCOH0005","SAPAdapterEngine0_64","Stopped"
"USPHEH0005","SAPAdapterEngine0_64","Running"
"USATNH0005","SAPAdapterEngine0_64","Stopped"
"USCHGH0004","SAPAdapterEngine0_64","Stopped"
"USPHWH0022","SAPAdapterEngine0_64","Stopped"
"USPHWH0023","SAPAdapterEngine0_64","Running"
"USSTMA0047","SAPAdapterEngine0_64","Running"
"USKAKH0001","SAPAdapterEngine0_64","Running"
"USKAKH0002","SAPAdapterEngine0_64","Stopped"
"USZANA0000","SAPAdapterEngine0_64","Running"
"USDAVA0000","SAPAdapterEngine0_64","Running"
"CAMSPA0002","SAPAdapterEngine0_64","Running"
"USATNH0004","SAPAdapterEngine0_64","Running"
"USJCYA0020","SAPAdapterEngine0_64","Running"
"USCTYH0002","SAPAdapterEngine0_64","Running"
